Order,TRACKING,CHSVIA,State,Ship Date
73593377,92419902712015573020125885,MBPM,NJ,20230801
73593390,1Z3584030280261615,UC02,NJ,20230801
73593390,1Z3584030280261624,UC02,NJ,20230801
73593524,1Z3584030280261633,UC02,NV,20230802
73593524,1Z3584030280261642,UC02,NV,20230802
73593291,1Z1W1R130323060081,UMOC,TN,20230803
73593386,92419902712015573020125922,MBPM,IN,20230802
73593281,92419902712015573020125939,MBPM,NY,20230802
73593638,92419902712015573020125953,MBPM,SD,20230802
73593653,1Z1W1R130323060116,UMOC,MN,20230804
73593653,1Z1W1R130323060125,UMOC,MN,20230804
73593691,92419902712015573020126011,MBPM,NV,20230802
73593693,92419902712015573020126028,MBPM,WA,20230802
73593700,92419902712015573020126035,MBPM,KS,20230802
73593780,92419902712015573020126042,MBPM,CA,20230802
73593797,1Z3584030280261651,UC02,CA,20230802
73593797,1Z3584030280261660,UC02,CA,20230802
73593516,1Z1W1R130323065273,UMOR,TX,20230804
73593477,1Z1W1R130323065264,UMOR,MN,20230804
73593393,1Z1W1R130323065317,UMOR,MA,20230804
73593465,1Z1W1R130323065308,UMOR,NC,20230804
73593585,1Z1W1R130323065291,UMOR,NY,20230804
73593466,1Z1W1R130323065282,UMOR,TX,20230804
73593381,92419902712015573020126226,MBPM,NY,20230803
73593288,92419902712015573020126233,MBPM,CA,20230803
73593290,1Z1W1R130323060367,UMOC,AL,20230803
73593382,92419902712015573020126240,MBPM,CA,20230803
73593286,1Z1W1R130323060376,UMOC,TX,20230804
73593284,1Z1W1R130323060385,UMOR,FL,20230803
73593295,92419902712015573020126257,MBPM,FL,20230803
73593391,1Z1W1R130323060394,UMOC,NJ,20230803
73593289,92419902712015573020126264,MBPM,MA,20230803
73593387,1Z1W1R130323060401,UMOC,MN,20230803
73593387,1Z1W1R130323060410,UMOC,MN,20230803
73593287,9205590295388102952037,UPM,HI,20230804
73593380,92419902712015573020126271,MBPM,NE,20230803
73593384,92419902712015573020126288,MBPM,VA,20230803
73593500,92419902712015573020126295,MBPM,OH,20230803
73593565,1Z1W1R130323060429,UMOC,PA,20230803
73593636,1Z1W1R130323060438,UMOC,CA,20230803
73593568,92419902712015573020126301,MBPM,PA,20230803
73593562,1Z1W1R130323060447,UMOC,CA,20230803
73593562,1Z1W1R130323060456,UMOC,CA,20230803
73593640,1Z1W1R130323060465,UMOC,CA,20230803
73593640,1Z1W1R130323060474,UMOC,CA,20230803
73593640,1Z1W1R130323060483,UMOC,CA,20230803
73593567,1Z1W1R130323060492,UMOC,MI,20230803
73593704,92419902712015573020126318,MBPM,ME,20230803
73593570,1Z1W1R130323062267,UMOC,CA,20230803
73593778,92419902712015573020127803,MBPM,MS,20230803
73593642,1Z1W1R130323060509,UMOC,MI,20230803
73593574,92419902712015573020126325,MBPM,FL,20230804
73593658,1Z1W1R130323062276,UMOC,KS,20230803
73593663,92419902712015573020127810,MBPM,UT,20230804
73593690,1Z1W1R130323062285,UMOC,IN,20230803
73593701,1Z1W1R130323062294,UMOC,FL,20230804
73593680,92419902712015573020126332,MBPM,ME,20230803
73593786,1Z1W1R130323060518,UMOC,FL,20230803
73593784,92419902712015573020126349,MBPM,ME,20230804
73593655,1Z1W1R130323060527,UMOC,TX,20230803
73593687,1Z1W1R130323062301,UMOC,NV,20230803
73593687,1Z1W1R130323062310,UMOC,NV,20230803
73593650,1Z1W1R130323060536,UMOC,PA,20230803
73593776,1Z1W1R130323060545,UMOC,CA,20230803
73593648,1Z1W1R130323060554,UMOC,CA,20230804
73593779,92419902712015573020126356,MBPM,IN,20230803
