Submission Date (Central Time),Submission Time (Central Time),Overall Rating,Comments,FeedbackCategory,Subcategory,email_address,ucnValue,mouseFlowPlaybackUrl
1/1/2001,09:46:32 PM,5,Love the books. Love the service.,Thanks/Praise,,,,
1/1/2001,08:26:40 PM,3,This was a great experience and so easy to use.,Thanks/Praise,,,,
1/1/2001,06:23:42 PM,5,Love shopping for books for my class.  Easy website to use.,Thanks/Praise,,,,
1/1/2001,06:18:57 PM,5,Thank you!,Thanks/Praise,,,,
1/1/2001,04:38:16 PM,5,Very great program!,Thanks/Praise,,,,
1/1/2001,03:21:08 PM,5,Thank you.,Thanks/Praise,,,,
1/1/2001,12:36:46 PM,3,"I really appreciate the opportunity to help our teachers in the classroom while also finding new books and other products for my kids, often at prices much better than through other sellers and/or available before they are available elsewhere.",Thanks/Praise,,,,
1/1/2001,10:37:41 AM,3,Well built site that is very user friendly... Thank you!!,Thanks/Praise,,,,
1/1/2001,10:21:13 AM,4,I used the LIVE CHAT feature for the first time.  Amanda was VERY helpful and was able to clear up my problem very quickly.  Much appreciated.,Thanks/Praise,,,,
1/1/2001,09:56:39 AM,5,Thank you,Thanks/Praise,,,,
1/1/2001,09:44:19 AM,5,"I have loved scholastic since I was a child, and love it even more now as an educator.",Thanks/Praise,,,,
1/1/2001,09:44:12 AM,5,Website very user friendly.,Thanks/Praise,,,,
1/1/2001,09:42:42 AM,5,Love your books and the prices.,Thanks/Praise,,,,
1/1/2001,09:41:53 AM,5,first time ordering super easy and fast.,Thanks/Praise,,,,
1/1/2001,09:41:29 AM,3,"Site was super easy to use. The books my child circled on the flyer were easy to find and access on the site and add to the cart. Payment and checkout process was also seamless. Super easy, thank you so much.",Thanks/Praise,,,,
1/1/2001,09:36:44 AM,5,So wonderfully easy to do :) thank you,Thanks/Praise,,,,
1/1/2001,09:36:25 AM,4,29 years with Scholastic!  It's a great investment every year! Thank you for the selection!,Thanks/Praise,,,,
1/1/2001,09:36:04 AM,5,Excellent service and easy to use & navigate!,Thanks/Praise,,,,
